iter	Passed	Remaining
622	2370	1434
623	2374	1430
624	2377	1426
625	2381	1422
626	2385	1419
627	2389	1415
628	2393	1411
629	2396	1407
630	2400	1403
631	2404	1400
632	2408	1396
633	2412	1392
634	2415	1388
635	2419	1384
636	2422	1380
637	2426	1376
638	2430	1373
639	2434	1369
640	2438	1365
641	2442	1361
642	2446	1358
643	2449	1354
644	2453	1350
645	2457	1346
646	2461	1342
647	2465	1339
648	2469	1335
649	2472	1331
650	2476	1327
651	2480	1323
652	2484	1320
653	2487	1316
654	2491	1312
655	2495	1308
656	2498	1304
657	2502	1300
658	2506	1296
659	2509	1293
660	2513	1289
661	2517	1285
662	2520	1281
663	2524	1277
664	2528	1273
665	2532	1269
666	2536	1266
667	2539	1262
668	2543	1258
669	2547	1254
670	2551	1250
671	2554	1246
672	2558	1243
673	2562	1239
674	2565	1235
675	2569	1231
676	2572	1227
677	2576	1223
678	2580	1219
679	2583	1215
680	2587	1212
681	2591	1208
682	2595	1204
683	2599	1200
684	2603	1197
685	2606	1193
686	2610	1189
687	2614	1185
688	2617	1181
689	2621	1177
690	2625	1174
691	2629	1170
692	2633	1166
693	2636	1162
694	2641	1159
695	2645	1155
696	2648	1151
697	2652	1147
698	2656	1143
699	2659	1139
700	2663	1136
701	2667	1132
702	2670	1128
703	2674	1124
704	2678	1120
705	2681	1116
706	2685	1112
707	2689	1109
708	2693	1105
709	2697	1101
710	2700	1097
711	2704	1094
712	2708	1090
713	2712	1086
714	2715	1082
715	2719	1078
716	2723	1075
717	2727	1071
718	2730	1067
719	2735	1063
720	2738	1059
721	2742	1055
722	2746	1052
723	2750	1048
724	2754	1044
725	2757	1040
726	2761	1036
727	2765	1033
728	2768	1029
729	2772	1025
730	2776	1021
731	2779	1017
732	2783	1013
733	2786	1009
734	2790	1006
735	2794	1002
736	2798	998
737	2802	994
738	2806	991
739	2809	987
740	2813	983
741	2817	979
742	2821	975
743	2826	972
744	2830	968
745	2834	965
746	2837	961
747	2841	957
748	2845	953
749	2849	949
750	2852	945
751	2856	941
752	2859	937
753	2863	934
754	2866	930
755	2870	926
756	2874	922
757	2878	918
758	2881	915
759	2885	911
760	2888	907
761	2893	903
762	2897	899
763	2901	896
764	2904	892
765	2908	888
766	2911	884
767	2915	880
768	2919	877
769	2923	873
770	2927	869
771	2931	865
772	2935	861
773	2938	858
774	2942	854
775	2946	850
776	2949	846
777	2953	842
778	2956	838
779	2960	835
780	2964	831
781	2968	827
782	2971	823
783	2975	819
784	2978	815
785	2982	812
786	2986	808
787	2989	804
788	2993	800
789	2997	796
790	3001	792
791	3005	789
792	3009	785
793	3013	781
794	3016	777
795	3020	774
796	3024	770
797	3028	766
798	3031	762
799	3035	758
800	3039	755
801	3042	751
802	3046	747
803	3050	743
804	3054	739
805	3057	735
806	3061	732
807	3065	728
808	3069	724
809	3072	720
810	3076	716
811	3080	713
812	3083	709
813	3087	705
814	3091	701
815	3095	697
816	3099	694
817	3103	690
818	3106	686
819	3110	682
820	3115	679
821	3118	675
822	3122	671
823	3125	667
824	3129	663
825	3133	660
826	3137	656
827	3140	652
828	3144	648
829	3148	644
830	3151	640
831	3155	637
832	3158	633
833	3162	629
834	3165	625
835	3169	621
836	3173	618
837	3177	614
838	3181	610
839	3185	606
840	3188	602
841	3193	599
842	3196	595
843	3200	591
844	3204	587
845	3208	584
846	3212	580
847	3215	576
848	3219	572
849	3223	568
850	3226	565
851	3230	561
852	3234	557
853	3238	553
854	3242	549
855	3245	545
856	3249	542
857	3252	538
858	3256	534
859	3260	530
860	3263	526
861	3267	523
862	3271	519
863	3275	515
864	3278	511
865	3282	507
866	3286	504
867	3289	500
868	3293	496
869	3297	492
870	3300	488
871	3305	485
872	3308	481
873	3312	477
874	3316	473
875	3320	469
876	3323	466
877	3327	462
878	3331	458
879	3334	454
880	3338	450
881	3342	447
882	3346	443
883	3350	439
884	3354	435
885	3357	432
886	3361	428
887	3365	424
888	3369	420
889	3372	416
890	3376	413
891	3380	409
892	3384	405
893	3387	401
894	3392	397
895	3396	394
896	3400	390
897	3403	386
898	3407	382
